Time from (DKK local time);Time to (DKK local time);Heat Demand (MWh);Electricity Price (DKK / Mwh el)
13/07/2023 19.00;13/07/2023 20.00;1,67;867,23
13/07/2023 20.00;13/07/2023 21.00;1,68;981,45
13/07/2023 21.00;13/07/2023 22.00;1,62;1034,18
13/07/2023 22.00;13/07/2023 23.00;1,61;972,53
13/07/2023 23.00;14/07/2023 00.00;1,7;882,9
14/07/2023 00.00;14/07/2023 01.00;1,71;757,5
14/07/2023 01.00;14/07/2023 02.00;1,75;722,7
14/07/2023 02.00;14/07/2023 03.00;1,66;634,13
14/07/2023 03.00;14/07/2023 04.00;1,64;626,85
14/07/2023 04.00;14/07/2023 05.00;1,7;700,13
14/07/2023 05.00;14/07/2023 06.00;1,78;745,13
14/07/2023 06.00;14/07/2023 07.00;1,8;855
14/07/2023 07.00;14/07/2023 08.00;1,78;855
14/07/2023 08.00;14/07/2023 09.00;1,82;778,2
14/07/2023 09.00;14/07/2023 10.00;1,9;638,03
14/07/2023 10.00;14/07/2023 11.00;1,86;597,83
14/07/2023 11.00;14/07/2023 12.00;1,88;572,93
14/07/2023 12.00;14/07/2023 13.00;1,83;553,5
14/07/2023 13.00;14/07/2023 14.00;1,76;523,88
14/07/2023 14.00;14/07/2023 15.00;1,63;563,48
14/07/2023 15.00;14/07/2023 16.00;1,57;582,75
14/07/2023 16.00;14/07/2023 17.00;1,55;581,63
14/07/2023 17.00;14/07/2023 18.00;1,54;730,95
14/07/2023 18.00;14/07/2023 19.00;1,56;864,38
14/07/2023 19.00;14/07/2023 20.00;1,56;1051,43
14/07/2023 20.00;14/07/2023 21.00;1,59;1049,4
14/07/2023 21.00;14/07/2023 22.00;1,57;929,4
14/07/2023 22.00;14/07/2023 23.00;1,55;714,38
14/07/2023 23.00;15/07/2023 00.00;1,62;607,05
