TimeFrom,TimeTo,HeatDemand,ElectricityPrice
07/10/2023 23:00:00,07/11/2023 00:00:00,1.57,1002.75
07/11/2023 00:00:00,07/11/2023 01:00:00,1.53,933.08
07/11/2023 01:00:00,07/11/2023 02:00:00,1.54,868.05
07/11/2023 02:00:00,07/11/2023 03:00:00,1.42,789.68
07/11/2023 03:00:00,07/11/2023 04:00:00,1.46,755.10
07/11/2023 04:00:00,07/11/2023 05:00:00,1.48,747.75
07/11/2023 05:00:00,07/11/2023 06:00:00,1.56,845.55
07/11/2023 06:00:00,07/11/2023 07:00:00,1.60,926.63
07/11/2023 07:00:00,07/11/2023 08:00:00,1.68,940.43
07/11/2023 08:00:00,07/11/2023 09:00:00,1.80,907.13
07/11/2023 09:00:00,07/11/2023 10:00:00,1.78,788.25
07/11/2023 10:00:00,07/11/2023 11:00:00,1.83,686.78
07/11/2023 11:00:00,07/11/2023 12:00:00,1.92,489.38
07/11/2023 12:00:00,07/11/2023 13:00:00,1.93,422.85
07/11/2023 13:00:00,07/11/2023 14:00:00,1.91,347.93
07/11/2023 14:00:00,07/11/2023 15:00:00,1.72,355.43
07/11/2023 15:00:00,07/11/2023 16:00:00,1.64,434.10
07/11/2023 16:00:00,07/11/2023 17:00:00,1.59,510.00
07/11/2023 17:00:00,07/11/2023 18:00:00,1.53,698.40
07/11/2023 18:00:00,07/11/2023 19:00:00,1.61,855.00
07/11/2023 19:00:00,07/11/2023 20:00:00,1.69,1061.63
07/11/2023 20:00:00,07/11/2023 21:00:00,1.65,1200.15
07/11/2023 21:00:00,07/11/2023 22:00:00,1.62,1005.68
07/11/2023 22:00:00,07/11/2023 23:00:00,1.56,892.50
07/11/2023 23:00:00,07/12/2023 00:00:00,1.62,772.73
07/12/2023 00:00:00,07/12/2023 01:00:00,1.70,738.53
07/12/2023 01:00:00,07/12/2023 02:00:00,1.66,682.50
07/12/2023 02:00:00,07/12/2023 03:00:00,1.62,675.00
07/12/2023 03:00:00,07/12/2023 04:00:00,1.55,615.68
07/12/2023 04:00:00,07/12/2023 05:00:00,1.58,580.50
07/12/2023 05:00:00,07/12/2023 06:00:00,1.61,570.00
07/12/2023 06:00:00,07/12/2023 07:00:00,1.66,661.65
07/12/2023 07:00:00,07/12/2023 08:00:00,1.75,865.50
07/12/2023 08:00:00,07/12/2023 09:00:00,1.78,900.00
07/12/2023 09:00:00,07/12/2023 10:00:00,1.76,767.48
07/12/2023 10:00:00,07/12/2023 11:00:00,1.76,622.50
07/12/2023 11:00:00,07/12/2023 12:00:00,1.94,380.78
07/12/2023 12:00:00,07/12/2023 13:00:00,1.86,119.03
07/12/2023 13:00:00,07/12/2023 14:00:00,1.79,96.90
07/12/2023 14:00:00,07/12/2023 15:00:00,1.62,144.98
07/12/2023 15:00:00,07/12/2023 16:00:00,1.55,202.73
07/12/2023 16:00:00,07/12/2023 17:00:00,1.55,221.18
07/12/2023 17:00:00,07/12/2023 18:00:00,1.53,328.65
07/12/2023 18:00:00,07/12/2023 19:00:00,1.56,375.45
07/12/2023 19:00:00,07/12/2023 20:00:00,1.59,601.95
07/12/2023 20:00:00,07/12/2023 21:00:00,1.61,1043.25
07/12/2023 21:00:00,07/12/2023 22:00:00,1.61,939.00
07/12/2023 22:00:00,07/12/2023 23:00:00,1.67,945.08
07/12/2023 23:00:00,07/13/2023 00:00:00,1.66,854.33
07/13/2023 00:00:00,07/13/2023 01:00:00,1.67,786.90
07/13/2023 01:00:00,07/13/2023 02:00:00,1.65,642.45
07/13/2023 02:00:00,07/13/2023 03:00:00,1.60,592.50
07/13/2023 03:00:00,07/13/2023 04:00:00,1.55,563.18
07/13/2023 04:00:00,07/13/2023 05:00:00,1.60,570.00
07/13/2023 05:00:00,07/13/2023 06:00:00,1.68,663.83
07/13/2023 06:00:00,07/13/2023 07:00:00,1.71,766.73
07/13/2023 07:00:00,07/13/2023 08:00:00,1.78,828.53
07/13/2023 08:00:00,07/13/2023 09:00:00,2.04,893.25
07/13/2023 09:00:00,07/13/2023 10:00:00,2.02,652.20
07/13/2023 10:00:00,07/13/2023 11:00:00,1.80,365.78
07/13/2023 11:00:00,07/13/2023 12:00:00,1.73,356.93
07/13/2023 12:00:00,07/13/2023 13:00:00,1.72,370.43
07/13/2023 13:00:00,07/13/2023 14:00:00,1.62,348.75
07/13/2023 14:00:00,07/13/2023 15:00:00,1.62,348.75
07/13/2023 15:00:00,07/13/2023 16:00:00,1.67,350.63
07/13/2023 16:00:00,07/13/2023 17:00:00,1.61,338.03
07/13/2023 17:00:00,07/13/2023 18:00:00,1.65,351.98
07/13/2023 18:00:00,07/13/2023 19:00:00,1.65,417.68
07/13/2023 19:00:00,07/13/2023 20:00:00,1.67,867.23
07/13/2023 20:00:00,07/13/2023 21:00:00,1.68,981.45
07/13/2023 21:00:00,07/13/2023 22:00:00,1.62,1034.18
07/13/2023 22:00:00,07/13/2023 23:00:00,1.61,972.53
07/13/2023 23:00:00,07/14/2023 00:00:00,1.70,882.90
07/14/2023 00:00:00,07/14/2023 01:00:00,1.71,757.50
07/14/2023 01:00:00,07/14/2023 02:00:00,1.75,722.70
07/14/2023 02:00:00,07/14/2023 03:00:00,1.66,634.13
07/14/2023 03:00:00,07/14/2023 04:00:00,1.64,626.85
07/14/2023 04:00:00,07/14/2023 05:00:00,1.70,700.13
07/14/2023 05:00:00,07/14/2023 06:00:00,1.78,745.13
07/14/2023 06:00:00,07/14/2023 07:00:00,1.80,855.00
07/14/2023 07:00:00,07/14/2023 08:00:00,1.78,855.00
07/14/2023 08:00:00,07/14/2023 09:00:00,1.82,778.20
07/14/2023 09:00:00,07/14/2023 10:00:00,1.90,638.03
07/14/2023 10:00:00,07/14/2023 11:00:00,1.86,597.83
07/14/2023 11:00:00,07/14/2023 12:00:00,1.88,572.93
07/14/2023 12:00:00,07/14/2023 13:00:00,1.83,553.50
07/14/2023 13:00:00,07/14/2023 14:00:00,1.76,523.88
07/14/2023 14:00:00,07/14/2023 15:00:00,1.63,563.48
07/14/2023 15:00:00,07/14/2023 16:00:00,1.57,582.75
07/14/2023 16:00:00,07/14/2023 17:00:00,1.55,581.63
07/14/2023 17:00:00,07/14/2023 18:00:00,1.54,730.95
07/14/2023 18:00:00,07/14/2023 19:00:00,1.56,864.38
07/14/2023 19:00:00,07/14/2023 20:00:00,1.56,1051.43
07/14/2023 20:00:00,07/14/2023 21:00:00,1.59,1049.40
07/14/2023 21:00:00,07/14/2023 22:00:00,1.57,929.40
07/14/2023 22:00:00,07/14/2023 23:00:00,1.55,714.38
07/14/2023 23:00:00,07/15/2023 00:00:00,1.62,607.05
